"Time from drop (sec)","Geodetic Altitude (m)","Geocentric Radius (m)","Inertial FPA (deg)","Relative FPA (deg)","AoA (deg)","Sideslip (deg)","Bank Angle (deg)","Inertial Pitch (deg)","Inertial Yaw (deg)","Inertial Roll (deg)","Inertial Roll Rate (deg/sec)","Inertial Pitch Rate (deg/sec)","Inertial Yaw rate (deg/sec)","Ideal Velocity (m/s)","Inertial Velocity (m/s)","Relative Velocity (m/s)","Inertial Pos X (m)","Inertial Pos Y (m)","Inertial Pos Z (m)","Inertial Velocity X (m/s)","Inertial Velocity Y (m/s)","Inertial Velocity Z (m/s)","Acceleration X (m/s^2)","Acceleration Y (m/s^2)","Acceleration Z (m/s^2)","Mach Number","Dynamic Pressure (Pa)","Alpha*Q (deg*Pa)","Beta*Q (deg*Pa)","Stage Prop Mass (kg)","Vehicle Mass (kg)","Net Thrust (N)","AtmDens (kg/m^3)","AtmPres (Pa)","Geodetic Latitude (deg N)","Longitude (deg E)","Mean Anomaly (deg)","Time of Vacuum Impact (sec)","Geodetic Latitude of Vacuum Impact Point (deg N)","Geodetic Longitude of Vacuum Impact Point (deg N)","TotalAeroHeat (J/m^2)","AeroHeatRate (W/m^2)","Apogee Altitude over Equatorial Radius (m)","Perigee Altitude over Equatorial Radius (m)","Inclination (deg)","True Anomaly (deg)","Apogee Radius (m)","Perigee Radius (m)","ECI Longitude of Ascending Node (deg)","Argument of Perigee (deg)","Earth-relative longitude of nearest Ascending Node Crossing (deg)","Aero Force on body X axis (N)","Aero Force on Body Y axis (N)","Aero Force on Body Z axis (N)","XBodyAccel (m/s^2)","YBodyAccel (m/s^2)","ZBodyAccel (m/s^2)","Earth-relative Azimuth (deg)","Inertial Azimuth (deg)","Downrange (m)","Crossrange (m)","Eccentricity","Period (s)","A (m)","Lift (N)","Drag (N)","ECI2Body11","ECI2Body12","ECI2Body13","ECI2Body21","ECI2Body22","ECI2Body23","ECI2Body31","ECI2Body32","ECI2Body33"
380,531216.108,6905874.936,12.6738,12.46373,-26.62365,-25.39139,-2.50329,-114.9073,-3.834576,-34.48427,0.9267719,-1.516274,1.241183,6411.748416,4877.464464,4907.85912,-3466645.848,-5286179.928,2780242.6488,-1664.5877808,-2370.3506568,-3924.31524,4.191893064,6.380558232,-3.379887576,6.586,0.0000329923568889125,-0.000878376757466775,-0.000837721629566572,0,1662.15431325251,0,0.00000000000250453232896948,0.00000193562267122193,23.87142,-124.8443,153.0295,716.9386,-5.03787,-128.3751,8782580.13057425,62.723084883761,641735.2236,-4699540.748,91.01502,171.7393,7019873.184,1678596.084,56.29691,344.5165,59.68119,-0.000024514896622932,0.0000826614802052505,0.0000870766070516934,-0.000000014747013432,0.00000004972528536,0.00000005238122112,-173.3728,-178.8911,1351631.8256,-111142.05732,0.6140479,2854.5006,4349233.872,0.0000010580304178313,0.000035588802161004,-0.499221,0.2167557,-0.8389251,-0.5383744,0.6810339,0.4963325,0.6789193,0.6994354,-0.2232907
390,541555.5336,6916320.432,12.10829,11.9027,-25.50849,-33.20864,4.518251,-117.9071,1.764251,-42.22568,0.3180513,-0.104473,0.0388718,6411.748416,4859.667192,4890.3636,-3483083.712,-5309564.184,2740831.704,-1622.6274888,-2306.415504,-3957.763992,4.197547104,6.397227744,-3.315891768,6.569065,0.000029246722533088,-0.000746039552065845,-0.000971243871377265,0,1661.91300211167,0,0.00000000000223112438119071,0.00000173468071554362,23.47543,-124.8944,154.2907,706.9496,-5.039012,-128.375,8783186.56909908,58.7443598302228,641735.2236,-4699440.74,91.01476,172.1331,7019873.184,1678696.3632,56.29702,344.5168,59.68138,-0.0000217317110815877,0.0000981058391000834,0.0000736488049439227,-0.000000013074679464,0.00000005902445904,0.00000004431011712,-173.3432,-178.8947,1395618.6776,-115043.79536,0.6140292,2854.5498,4349285.688,0.00000093791153097713,0.0000315483935034306,-0.4955946,0.3077026,-0.8122224,-0.3921358,0.7551417,0.525348,0.7749939,0.5788611,-0.2535829
400,551389.296,6926259.96,11.53858,11.33762,-23.74963,-34.09733,6.937129,-118.2992,3.170443,-43.18544,0.007794437,-0.005568001,-0.0421068,6411.748416,4842.686784,4873.684944,-3499097.904,-5332308.36,2701089.4416,-1580.6464704,-2242.431888,-3990.575712,4.199482584,6.397526448,-3.254276448,6.551782,0.0000260023944887876,-0.000617547131461037,-0.000886612162011393,0,1661.89213686265,0,0.00000000000199368729804169,0.0000015593867781933,23.08058,-124.9444,155.5531,696.9441,-5.039361,-128.375,8783755.53108586,55.0899317526223,641725.9636,-4699364.808,91.01473,172.5263,7019864.04,1678771.6488,56.29703,344.5167,59.68149,-0.0000193210196183054,0.000089732506731517,0.0000605122723875193,-0.000000011624453256,0.0000000539873952,0.00000003640707984,-173.3143,-178.898,1439482.3716,-118891.3624,0.6140149,2854.5828,4349316.168,0.000000833869406684833,0.0000280487418029595,-0.4920226,0.3136147,-0.8121327,-0.3674553,0.7708824,0.5203046,0.789234,0.5544241,-0.2640522
410,560718.0048,6935696.568,10.96519,10.76898,-22.50847,-33.72903,7.89094,-118.336,3.438745,-42.8513,0.007795713,-0.005630413,-0.04208051,6411.748416,4826.565912,4857.853632,-3514694.52,-5354412.456,2661022.2624,-1538.6489928,-2178.4415664,-4022.771736,4.200525,6.399312576,-3.192066768,6.533737,0.0000233140663758446,-0.000524763808003762,-0.000786360475758366,0,1661.89213686265,0,0.00000000000179713263966171,0.00000141329788361063,22.68682,-124.9943,156.8155,686.9368,-5.039613,-128.3749,8784290.42349259,51.8659387493315,641716.148,-4699292.58,91.01472,172.9185,7019851.848,1678843.8864,56.29704,344.5165,59.68159,-0.0000173234656339836,0.0000795227705513065,0.000051113535972203,-0.000000010422629904,0.00000004784473032,0.00000003075236928,-173.2863,-178.9012,1483229.9452,-122685.14736,0.6140011,2854.6128,4349349.696,0.000000747657533915146,0.0000251488438228741,-0.4885419,0.3084813,-0.81619,-0.3699828,0.7739211,0.513964,0.7902149,0.5530692,-0.2639601
413.04,563454.1944,6938464.152,10.79017,10.59544,-22.13366,-33.61173,8.177316,-118.3469,3.520327,-42.74977,0.007796103,-0.005648963,-0.04207296,6411.748416,4821.835416,4853.211528,-3519354.912,-5361005.28,2648778.4464,-1525.8784824,-2158.9874016,-4032.436944,4.199775192,6.398242728,-3.169362216,6.52845,0.0000225308746156256,-0.00049869061297602,-0.00075730146778061,0,1661.89213686265,0,0.00000000000173948494193034,0.00000137045127625689,22.56732,-125.0095,157.1994,683.8944,-5.039682,-128.3749,8784447.1435608,50.9015197904235,641713.1848,-4699272.208,91.01471,173.0375,7019848.8,1678865.5272,56.29704,344.5165,59.68161,-0.0000167415181447239,0.0000765643473194291,0.0000484793880960781,-0.000000010072500048,0.00000004606478976,0.000000029167534248,-173.278,-178.9021,1496507.3036,-123828.64624,0.6139969,2854.6224,4349358.84,0.000000722541540208901,0.0000243040197808173,-0.4874785,0.3069178,-0.8174143,-0.3707455,0.7748367,0.5120312,0.7905141,0.5526568,-0.2639278
420,569543.184,6944624.16,10.38829,10.19697,-21.28242,-33.33551,8.824952,-118.3717,3.707156,-42.51741,0.007794601,-0.005675505,-0.04206952,6411.748416,4811.301528,4842.872712,-3529870.512,-5375876.472,2620636.2624,-1496.6332272,-2114.4430152,-4054.35816,4.202609832,6.400354992,-3.131640168,6.51527,0.0000210428184108534,-0.000447842160980976,-0.000701473085809539,0,1175.65018807005,0,0.00000000000163101573891722,0.00000128921906527862,22.29408,-125.0442,158.078,676.9288,-5.039827,-128.3749,8784793.51762461,48.9839361905494,641706.3324,-4699222.204,91.0147,173.3097,7019842.704,1678914.6,56.29705,344.5163,59.68169,0,0,0,0,0,0,-173.2592,-178.9043,1526868.0656,-126428.632,0.6139875,2854.6434,4349380.176,0.000000674821018720386,0.0000226988567698425,-0.4850354,0.3033325,-0.8202012,-0.3724816,0.7769189,0.5075968,0.7912004,0.5517122,-0.2638474
424.08,572999.3112,6948120.216,10.15155,9.96225,-20.78595,-33.16714,9.200646,-118.3859,3.81675,-42.38115,0.007726341,-0.007314947,-0.04440919,6411.961776,4805.376216,4837.066272,-3535942.128,-5384450.496,2604068.5536,-1479.5232792,-2088.3039768,-4067.138424,3.721327584,6.703972368,-3.922279176,6.507812,0.0000202142026489397,-0.000420171345351837,-0.000670447156792871,777.32441961559,1175.61707582704,6259.14601349243,0.00000000000157029432191295,0.0000012437141459463,22.13412,-125.0646,158.5936,672.8465,-5.040318,-128.3751,8784991.12118888,47.8946635772969,641699.48,-4699138.864,91.01519,173.469,7019836.608,1678998.1152,56.29684,344.5162,59.68158,0,0,0,5.323466112,0.005430719136,-0.002292745224,-173.248,-178.905,1544642.4504,-127941.30856,0.6139717,2854.6812,4349416.752,0.000000648248232435143,0.0000218050266702504,-0.4835976,0.3012252,-0.8218253,-0.3734938,0.7781309,0.5049898,0.7916033,0.5511585,-0.2637965
430,577766.0784,6952948.248,9.195431,9.002186,-15.30461,-27.41273,10.88124,-114.1843,5.345608,-37.58629,-0.2038844,-0.003712684,-0.6998184,6554.385672,4906.73136,4945.376952,-3544830.096,-5396599.824,2579604.3912,-1526.9449776,-2016.9387144,-4204.331952,-9.14616408,11.777472,-25.34408952,6.649643,0.0000199808917229804,-0.000305799818605768,-0.00054773053182886,719.52178312938,1117.81262497135,29815.0105043959,0.00000000000148654732543933,0.00000118095366008006,21.89966,-125.096,159.8925,672.2235,-5.943551,-128.8383,8785280.71261928,49.880863311385,638300.5044,-4593554.492,91.85577,173.6014,7016438.088,1784582.0544,55.95885,344.6087,59.44615,0,0,0,26.669228856,0.04655384136,0.021667174344,-172.4741,-178.0016,1570730.8336,-129979.26788,0.5944601,2905.1292,4400510.376,0.000000640766323678275,0.0000215533551877022,-0.5004339,0.1955016,-0.8434127,-0.4262359,0.7923003,0.4365583,0.753584,0.5779614,-0.3131641
440,584962.4064,6960248.208,7.52436,7.33203,-14.82696,-21.98569,10.82704,-114.8207,5.057332,-33.45188,-0.19999,0.01904961,-0.5272841,6857.890272,5145.484248,5196.224304,-3560594.352,-5416186.272,2536171.9152,-1630.1155104,-1899.3758304,-4495.67808,-11.533138224,11.917411776,-32.82702096,6.974295,0.0000203610083109993,-0.000301891879748052,-0.000447650975106867,606.14727743262,1004.43857286696,34596.8798783522,0.00000000000137693501220701,0.00000109831329068518,21.48926,-125.1592,162.0702,679.7087,-8.218299,-129.7851,8785805.384152,55.7936162154331,632892.4792,-4336263.54,93.33599,173.7226,7011030.936,2041873.7928,55.37225,344.8699,59.10392,0,0,0,34.43959584,0.06706206552,0.03428173992,-171.1666,-176.4174,1616567.4632,-132693.83688,0.5489019,3030.7338,4526450.688,0.000000652956230192735,0.0000219633922561969,-0.4584206,0.1560261,-0.8749322,-0.4823972,0.78314,0.3924088,0.7464205,0.6019531,-0.283741
450,591010.8576,6966405.168,5.853604,5.671775,-14.4385,-16.75461,10.52941,-115.6292,4.777113,-29.38506,-0.1966716,-0.1067006,-0.3436828,7224.01908,5456.474736,5518.31256,-3577474.176,-5434605.336,2489485.6992,-1747.4101704,-1785.2300592,-4851.0444,-12.130235328,11.300667264,-38.481,7.389153,0.0000213824091476715,-0.00030872980317381,-0.000358253935085718,484.18536098702,882.47665642136,35139.8476015974,0.0000000000012880857654313,0.00000103121485335532,21.05569,-125.2361,164.3043,699.2888,-11.51488,-130.924,8786405.00876082,64.744989537738,627237.3972,-3967222.908,94.71742,173.7886,7005373.848,2410913.7456,54.83464,345.1989,58.91806,0,0,0,39.81446952,0.085569552,0.04029553536,-170.012,-174.9482,1665205.9836,-134480.86872,0.487927,3215.034,4708145.016,0.000000685711599701029,0.0000230651678198592,-0.4119335,0.1203285,-0.9032341,-0.5350002,0.7704662,0.3466361,0.7376216,0.6260214,-0.2530051
460,595830.9648,6971339.88,4.199322,4.035155,-14.00896,-11.72659,10.03553,-116.5137,4.560055,-25.33362,-0.1977521,-0.09187976,-0.3829648,7664.534328,5851.330944,5922.669384,-3595582.344,-5451899.688,2438885.8512,-1875.5389464,-1674.5428536,-5283.589128,-13.23081936,10.774113072,-47.19876768,7.908463,0.0000232151744889466,-0.000325220482570523,-0.000272234799455373,356.466676977565,754.75774561572,36425.1923748782,0.00000000000122077832250678,0.000000980285579483112,20.5934,-125.3272,166.6654,740.5665,-16.54556,-132.402,8787114.79167846,78.0753600530228,620908.002,-3426596.328,95.93183,173.8282,6999046.2,2951539.944,54.37105,345.5788,58.97807,0,0,0,48.2545644,0.10835524176,0.05257260504,-169.0721,-173.6665,1717257.5548,-135402.88692,0.4067605,3492.5196,4975293.072,0.000000744486396725627,0.0000250421754685401,-0.3619109,0.08681698,-0.9281613,-0.5840397,0.7549105,0.2983419,0.7265798,0.6500562,-0.2225058
470,599309.3424,6974939.568,2.609654,2.466803,-13.6054,-6.959692,9.335533,-117.5236,4.409916,-21.2708,-0.2000198,-0.1007678,-0.4419936,8194.06032,6345.079512,6423.64476,-3615007.248,-5468124.192,2383506.7392,-2010.4300152,-1571.6335344,-5809.317312,-13.669118712,9.924900648,-57.38753064,8.550614,0.000026187437325669,-0.000356290700826747,-0.000182256493090202,226.733997486073,625.02488468728,36341.9172180189,0.00000000000117795498110767,0.0000009477121604962,20.09519,-125.4326,169.1341,833.7065,-25.4047,-134.7111,8787989.24423299,98.0823007439489,613945.9636,-2602326.688,96.90063,173.8415,6992081.52,3775810.584,54.0089,346.0244,59.43239,0,0,0,58.13718624,0.1465803012,0.0726007692,-168.4193,-172.655,1773510.2028,-135570.34476,0.2986911,3931.5342,5383947.576,0.000000839803779141752,0.0000282483512997227,-0.3077152,0.05606264,-0.9498254,-0.6295511,0.7365086,0.2474277,0.713426,0.6741009,-0.1913406
480,601315.8408,6977073.168,1.112841,0.9914916,-12.8548,-2.325674,8.46823,-118.2721,4.413656,-17.0085,-0.197407,-0.1472964,-0.3508484,8841.001368,6965.18292,7048.146432,-3635800.704,-5483382.48,2322292.536,-2148.7598376,-1482.2265504,-6457.52328,-13.902927744,8.256538224,-71.47977576,9.350955,0.0000306630876260889,-0.000394168007621947,-0.0000713123310424634,97.647369607172,495.93839288609,35671.5791170424,0.00000000000115325081282681,0.000000928920116451597,19.55224,-125.5522,171.6452,1140.158,-48.95192,-141.7106,8789111.2690692,128.649914083738,606316.4644,-1237176.744,97.5612,173.7736,6984452.376,5140961.016,53.76782,346.6073,60.58854,0,0,0,71.9180172,0.20393412096,0.10070723064,-168.1135,-171.9787,1834914.1888,-135183.20268,0.1520355,4697.976,6062706.696,0.000000983333211534878,0.0000330762286298457,-0.251761,0.02133057,-0.9675543,-0.6723362,0.7152571,0.1907127,0.6961181,0.6985358,-0.1657325
490,601865.7,6977762.016,0.1092547,0.002570126,-12.80477,1.397386,7.291296,-119.4773,4.220328,-13.19664,-0.1840827,-0.4595654,0.01070326,9399.172464,7509.074136,7592.967288,-3657795.072,-5497860.48,2254599.8088,-2232.4880928,-1415.1562248,-7028.477688,-3.921471456,6.454377744,-43.20003552,10.04905,0.0000352046259508917,-0.000450787132070079,0.0000491944284485691,7.3810047301221,405.672059760506,15389.579045641,0.00000000000114648028128958,0.000000923770115795672,18.95901,-125.6836,171.4979,,,,8790570.58274786,160.928569872632,600588.0432,420609.7572,97.78515,171.7157,6978725.184,6798746.88,53.68816,349.2509,62.2747,0,0,0,37.9309884,0.1237931484,0.058427112,-168.1721,-171.7706,1902024.372,-134569.33876,0.01306322,5690.1042,6888736.032,0.00000112897554919525,0.0000379751796449373,-0.1948537,0.0001219098,-0.9808323,-0.7089972,0.6909848,0.1409364,0.6777574,0.7228693,-0.1345545
492.96,601844.364,6977780.304,0.03064414,-0.07431193,-14.76909,0.5561512,6.103272,-121.7493,2.825337,-13.67298,-0.6493241,-0.72245,0.3171005,9446.291496,7553.943744,7637.855184,-3664406.184,-5502017.952,2233684.7376,-2228.6104272,-1395.7489992,-7081.473264,4.060097544,6.512375088,-3.894371688,10.10658,0.0000356170425616189,-0.000526031677261562,0.0000198084605463145,0.6670574752457,398.956579363419,128.459524793866,0.00000000000114674467062342,0.00000092397169168598,18.77669,-125.7237,153.7963,,,,8791053.23513186,163.867184716925,600510.8148,583607.2404,97.79312,153.8576,6978648.984,6961744.776,53.68539,7.292031,62.45178,0,0,0,0.3215530272,0.012090967944,0.01039936452,-168.1898,-171.7711,1922644.54,-134389.06508,0.001212561,5791.3314,6970196.88,0.00000114220144652391,0.0000384200507369011,-0.1823421,0.04201054,-0.9823372,-0.7166132,0.6783891,0.1620302,0.6732138,0.7335008,-0.09359359
500,601773.3456,6977807.736,0.02559644,-0.07723197,-9.646953,6.015542,0.7235736,-117.2517,-0.7057628,-6.898449,-0.4662933,2.287467,0.09165717,9447.83988,7555.422024,7639.403568,-3679990.608,-5511683.16,2183760.3264,-2198.3635992,-1350.0777672,-7101.330984,4.348310328,6.54173952,-2.7539155488,10.10858,0.0000356582531005232,-0.000343993422391792,0.000214503703872681,0.447198668030191,398.546486501702,64.5770572995443,0.00000000000114761772234178,0.000000924635312075447,18.34234,-125.8189,147.1935,,,,8792208.19389544,164.031627223284,600586.7468,589079.7152,97.79282,147.2447,6978725.184,6967215.936,53.68549,14.34166,62.4586,0,0,0,0.16200888096,0.0007311780144,0.0004206706344,-168.2025,-171.7923,1971765.136,-133945.88148,0.0008251181,5794.7898,6972970.56,0.0000011435230131658,0.0000384645018155024,-0.1748218,-0.06286792,-0.982591,-0.7995153,0.5915024,0.1044037,0.5746413,0.8038486,-0.1536714
510,601672.4568,6977841.264,0.02588845,-0.07395787,1.400343,5.704914,-1.158052,-107.0245,-2.570588,-6.630136,0.01868895,0.08979145,-0.008027153,9448.92192,7556.531496,7640.616672,-3701759.424,-5524862.712,2112614.2152,-2155.4063064,-1285.6214064,-7127.592552,4.32375564,6.469706136,-2.5562719512,10.11016,0.0000357079623853966,0.0000500034133043009,0.000203710823174888,0.29383350854704,398.211826051116,27.1256646462471,0.00000000000114885926991529,0.000000925579989585129,17.72518,-125.9536,131.163,,,,8793849.21200102,164.200953036116,601134.3832,592758.528,97.79256,131.2148,6979270.776,6970894.872,53.68558,30.99202,62.46274,0,0,0,0.06810917544,0.00030836616,0.00017769730272,-168.2192,-171.8211,2041550.348,-133275.939,0.000600416,5797.4238,6975082.824,0.00000114511681097055,0.0000385181251270744,-0.2782228,-0.2017734,-0.9390844,-0.8150604,0.5668809,0.1196771,0.5082014,0.7987074,-0.3221767
520,601575.5304,6977874.792,0.02530418,-0.07150295,1.785568,5.81856,-0.8471907,-107.2293,-2.228454,-6.628663,0.03695233,-0.04676956,-0.007116082,9449.437032,7557.07404,7641.2598,-3723095.424,-5537396.088,2041212.6816,-2111.9674296,-1220.8005048,-7152.525192,4.35857904,6.492700248,-2.4455439024,10.11101,0.0000357510450424271,0.0000638359243632019,0.000208019567680528,0.220479230859195,398.121787965671,15.7891672415614,0.00000000000115005288725868,0.000000926488278097986,17.10787,-126.0877,119.2106,,,,8795492.50141194,164.329508918158,601544.416,594483.1104,97.79237,119.2612,6979682.256,6972620.04,53.68563,43.56609,62.46505,0,0,0,0.03965359608,0.00017970468504,0.00010360554336,-168.2348,-171.8488,2111342.968,-132560.93736,0.0005061117,5798.7546,6976149.624,0.00000114649842860425,0.0000385646001465106,-0.2749457,-0.1999385,-0.9404411,-0.8126413,0.5710674,0.116173,0.5138278,0.7961825,-0.3194908
530,601481.9568,6977908.32,0.0246377,-0.06908348,1.826995,5.846685,-0.4735237,-107.7673,-1.856198,-6.735535,0.03855876,-0.04501675,-0.01355942,9449.754024,7557.412368,7641.695664,-3743995.56,-5549280.24,1969567.308,-2068.2164376,-1155.7793496,-7176.427608,4.387602096,6.50996412,-2.3473172256,10.1116,0.0000357910442107793,0.0000653900696894447,0.000209258948184234,0.175864202860654,398.073026785896,10.1209185392186,0.00000000000115120733581188,0.000000927365923245096,16.49044,-126.2212,109.5334,,,,8797135.79082286,164.441824967046,601889.0732,595521.5268,97.79224,109.5826,6980026.68,6973659.408,53.68568,53.86519,62.46664,0,0,0,0.025421231352,0.00011526063816,0.00006646749216,-168.2496,-171.8753,2181139.292,-131800.24688,0.0004563383,5799.6168,6976841.52,0.00000114778129571809,0.0000386077478961787,-0.2699059,-0.1925194,-0.9434443,-0.80919,0.576406,0.1138761,0.5218835,0.7941615,-0.3113601
540,601391.4312,6977938.8,0.02398705,-0.06660404,1.812781,5.830981,-0.07764263,-108.3577,-1.480519,-6.89837,0.04072251,-0.05357667,-0.007313259,9449.970432,7557.65316,7642.033992,-3764459.832,-5560512.12,1897687.2384,-2024.193564,-1090.6000032,-7199.400384,4.413647256,6.524774352,-2.2568297256,10.11206,0.0000358288839794515,0.0000649499064686384,0.000208917561937705,0.145097440636687,398.038145532643,7.69142889139016,0.00000000000115232106943843,0.000000928213403829048,15.8729,-126.3541,101.39,,,,8798780.21588644,164.544487968253,602193.542,596233.4356,97.79213,101.438,6980331.48,6974369.592,53.68571,62.63041,62.46788,0,0,0,0.019320656304,0.00008761838712,0.00005053221288,-168.2636,-171.9007,2250939.32,-130995.90476,0.0004270998,5800.2504,6977350.536,0.00000114899477057473,0.0000386485603294987,-0.2649799,-0.1838948,-0.9465561,-0.805268,0.5821741,0.1123241,0.5304046,0.791995,-0.302349
550,601304.2584,6977972.328,0.02335254,-0.06406583,1.857761,5.814123,0.3226822,-108.8893,-1.1044,-7.071083,0.04313751,-0.06685632,0.004677025,9450.14112,7557.848232,7642.320504,-3784479.096,-5571091.728,1825582.2264,-1979.9192304,-1025.281668,-7221.480096,4.438500648,6.538243464,-2.1681280488,10.11245,0.0000358650096348521,0.000066628588348489,0.000208523555286555,0.120664687626637,398.009523854096,6.02167770256175,0.00000000000115339408813833,0.000000929029762244663,15.25527,-126.4865,93.9713,,,,8800426.91225537,164.641018445052,602486.7136,596784.9612,97.79202,94.01801,6980624.088,6974921.28,53.68574,70.67096,62.46895,0,0,0,0.015127373352,0.0000686116992,0.0000395732508,-168.277,-171.925,2320741.2,-130148.48512,0.0004085713,5800.7772,6977774.208,0.00000115015308748335,0.0000386875267508484,-0.2605939,-0.1760595,-0.9492596,-0.8012289,0.5879909,0.1109011,0.5386308,0.7894744,-0.2942908
552.96,601278.96,6977981.472,0.0231602,-0.063311,1.838043,5.817358,0.4465181,-109.0795,-0.9858255,-7.117815,0.04289353,-0.0622712,-0.0008072642,9450.183792,7557.897,7642.396704,-3790322.112,-5574097.056,1804197.1536,-1966.7668056,-1005.9210768,-7227.847368,4.445291592,6.541459104,-2.1352273272,10.11256,0.0000358753709228955,0.0000659405011466826,0.000208699850400121,0.11457561829252,398.003445716338,5.55303531428598,0.00000000000115370383080818,0.000000929264854316256,15.07244,-126.5256,91.96893,,,,8800914.10725003,164.668501239623,602567.646,596923.1204,97.792,92.01525,6980703.336,6975061.488,53.68575,72.8574,62.46923,0,0,0,0.013950281472,0.00006327538272,0.0000364961424,-168.2808,-171.9319,2341402.112,-129889.50144,0.0004044661,5800.914,6977880.888,0.00000115048581446017,0.0000386987095799891,-0.2588722,-0.1733712,-0.950225,-0.8000035,0.5897616,0.1103433,0.5412758,0.7887482,-0.2913705
555.96,601253.9664,6977990.616,0.02297846,-0.06252927,2.014927,5.81676,0.5762585,-109.0749,-0.8633777,-7.170984,0.04582465,0.06412036,0.007501044,9450.272184,7557.991488,7642.515576,-3796201.704,-5577084.096,1782503.928,-1953.4275384,-986.2950048,-7234.263408,4.445620776,6.538331856,-2.1112974792,10.11272,0.000035886143981166,0.0000723079531477005,0.000208741075303103,0.108731851712099,189.059340981665,5.38606241951395,0.00000000000115401408885685,0.000000929500903993029,14.88712,-126.5651,88.27217,,,,8801408.11616071,164.698823165865,602735.6224,597136.1004,97.79197,88.31813,6980874.024,6975271.8,53.68576,76.74069,62.46969,0,0,0,0.028484751768,0.00012920234256,0.0000745222284,-168.2846,-171.9389,2362342.676,-129622.6838,0.0004012273,5801.1516,6978072.912,0.00000115083099645751,0.0000387103283348482,-0.2590501,-0.1733172,-0.9501864,-0.7986978,0.5916232,0.1098356,0.5431159,0.7873647,-0.2916881
560,601220.4384,6978002.808,0.02274256,-0.06146191,3.27432,-11.79107,1.53914,-107.0632,-6.261241,-24.00572,0.009125149,0.332497,4.517898,9450.38496,7558.11036,7642.67712,-3804056.4,-5581016.016,1753260.1968,-1935.4790856,-959.8118472,-7242.770376,4.452789672,6.552306936,-2.0931189024,10.11294,0.0000359004601786012,0.000117549578935889,-0.000423305012541582,0.10114384103208,189.037296392483,5.16120036864091,0.00000000000115442536115393,0.000000929813562084171,14.63755,-126.6183,83.41498,,,,8802073.60862429,164.739138835586,602971.5672,597395.1952,97.79238,83.46046,6981108.72,6975530.88,53.68565,81.84907,62.47016,0,0,0,0.02729874144,0.00012382512192,0.00007142140656,-168.2892,-171.9477,2390543.08,-129258.5806,0.0003995502,5801.46,6978319.8,0.00000115129005292821,0.0000387257725602964,-0.4975741,0.001565752,-0.86742,-0.6801535,0.6199171,0.3912723,0.5383411,0.7846658,-0.3073897
570,601140.276,6978030.24,0.02225392,-0.05869798,14.16114,-56.65559,9.255448,-92.51552,-15.14384,-69.27651,-0.09436017,0.7407575,4.537375,9450.640992,7558.326768,7642.988016,-3823188.696,-5590284.984,1680729.9888,-1890.8841024,-894.1707288,-7263.149304,4.466926296,6.572621856,-1.9919155488,10.11336,0.0000359341487288197,0.00050886851962747,-0.00203587052705424,0.083752157022303,189.019878445475,4.60461663903144,0.00000000000115541231159115,0.000000930564324544982,14.01973,-126.7497,74.57482,,,,8803721.44064588,164.831240266979,603452.7168,597829.6744,97.79348,74.61933,6981590.304,6975966.744,53.68536,91.31075,62.47098,0,0,0,0.024357089208,0.00011048719584,0.00006372968712,-168.3001,-171.9686,2460348.664,-128326.82088,0.0004028747,5802.0306,6978777,0.00000115237052595855,0.0000387621100826714,-0.878126,0.3708816,-0.3022276,-0.1125541,0.4538312,0.8839507,0.4650014,0.8102371,-0.3567767
580,601063.7712,6978060.72,0.02166912,-0.05599081,-9.380208,-88.3245,-6.981693,-89.17962,-22.6701,-102.0858,-1.17809,-0.2771446,0.5787668,9450.869592,7558.418208,7643.176992,-3841872.936,-5598898.632,1608000.4416,-1846.0800264,-828.356484,-7282.549824,4.490441616,6.582890568,-1.8924983232,10.11363,0.0000359653475055713,-0.000337362437445346,-0.00317662104887887,0.068341174814605,188.975698548637,4.04803335424414,0.00000000000115635442407118,0.000000931281570824508,13.40184,-126.8806,70.27059,,,,8805370.40832014,164.912098736957,603672.5492,598065.0636,97.79508,70.31393,6981809.76,6976201.44,53.68496,96.23671,62.47125,0,0,0,0.02141793024,0.00009715932816,0.00005604339312,-168.3098,-171.9879,2530156.1,-127353.53932,0.0004017288,5802.315,6979005.6,0.00000115337093099983,0.0000387957653274125,-0.7614947,0.6247207,0.1727712,0.2810538,0.07805584,0.9565124,0.5840673,0.7769371,-0.2350192
590,600990.6192,6978088.152,0.02095191,-0.05337802,27.33245,-87.85062,31.02304,-90.50662,-21.99002,-101.8634,0.6810021,0.0256756,-0.01642972,9451.07076,7558.433448,7643.283672,-3860109.12,-5606853.912,1535081.9184,-1801.00986,-762.435864,-7301.023752,4.5179742,6.595615968,-1.8085594512,10.11379,0.0000359944108227724,0.000983815790977732,-0.00316213104610365,0.054910849049749,188.957464135363,3.49144962463466,0.00000000000115725272935164,0.000000931964343317567,12.78388,-127.011,68.58874,,,,8807019.3759944,164.984212681389,603691.9952,598210.2604,97.7965,68.63065,6981828.048,6976347.744,53.68463,98.54057,62.4713,0,0,0,0.018474854592,0.00008381241048,0.00004834579104,-168.319,-172.0065,2599963.536,-126340.62496,0.0003927322,5802.4176,6979087.896,0.00000115430283342822,0.0000388271163933569,-0.749695,0.6411121,0.1641121,0.2853811,0.08945088,0.9542307,0.5970888,0.7622164,-0.2500222
