"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
147,18.800775,-83.933592,100.99277,417185.7036,806.15442528
148,19.0349,-84.558258,102.10643,418023.56832,869.12153328
149,19.26891,-85.191451,103.22527,418924.70952,934.68343416
150,19.502441,-85.832883,104.3466,419893.79064,1002.77575416
151,19.735353,-86.482471,105.47075,420931.26888,1073.37264624
151.60001,19.874657,-86.876015,106.15368,421588.20432,1116.89909208
152,19.967296,-87.139947,106.6051,422040.98472,1146.39376512
153,20.198029,-87.805014,107.7324,423224.76696,1221.735936
154,20.427268,-88.477363,108.89037,424484.96256,1299.33871704
155,20.654686,-89.156601,110.05205,425824.58904,1379.16321576
156,20.880075,-89.842513,111.23206,427244.5608,1461.14347344
157,21.103151,-90.534617,112.42201,428747.10288,1545.25876368
158,21.323541,-91.232533,113.36407,430334.7756,1629.92214528
159,21.540594,-91.93441,114.25176,432005.04912,1707.96228384
160,21.753358,-92.637237,116.25702,433747.926,1777.56757008
161,21.960898,-93.338559,117.98548,435558.1332,1841.6881632
162,22.162889,-94.03703,119.14386,437430.12336,1902.12095064
163,22.359121,-94.731906,119.87885,439361.91528,1960.33269096
164,22.549671,-95.42268,120.75777,441350.18664,2017.07233872
165,22.734442,-96.109159,121.84628,443395.18128,2072.65780032
165.60001,22.842536,-96.518904,122.54745,444649.098,2105.47028232
166,22.913501,-96.791139,123.01842,445495.25328,2127.14710968
167,23.086878,-97.468408,124.19504,447649.42728,2180.67858504
168,23.254631,-98.140765,125.35367,449856.66696,2233.2828588
169,23.416849,-98.808214,126.47497,452115.57024,2284.97965152
170,23.573516,-99.47047,127.55427,454426.41144,2335.756314
170.56,23.658897,-99.839114,128.14326,455742.05016,2363.79706056
170.60001,23.66495,-99.865393,128.185,455836.3248,2365.79014776
171,23.72477,-100.12757,128.60186,456787.08744,2385.6273852
172,23.870652,-100.77927,129.64608,459197.23248,2434.58932944
173,24.011229,-101.42552,130.69287,461655.99312,2482.64967528
174,24.146617,-102.06625,131.74165,464161.84536,2529.81445776
175,24.276819,-102.70126,132.7917,466715.06352,2576.0799888
175.60001,24.352534,-103.07956,133.39063,468268.6596,2603.41478808
176,24.401988,-103.33063,133.76995,469313.69688,2621.46169128
177,24.522137,-103.95412,134.67249,471957.92832,2665.95858984
178,24.637422,-104.57183,135.51187,474645.8376,2709.58866768
