7.2,-2817519.599,3733890.562,-4342868.369,197.814,-231.848,-276.035,12062.081,-2817569.691,3734033.356,-4342970.881,12237.631
7.3,-2817500.162,3733866.726,-4342896.102,196.760,-233.079,-276.719,12058.341,-2817549.871,3734014.583,-4343000.016,12237.649
7.4,-2817480.795,3733842.809,-4342923.880,195.686,-234.317,-277.423,12054.616,-2817530.051,3733995.811,-4343029.150,12237.668
7.5,-2817461.501,3733818.812,-4342951.706,194.590,-235.562,-278.146,12050.909,-2817510.231,3733977.039,-4343058.284,12237.687
7.6,-2817442.279,3733794.735,-4342979.581,193.474,-236.813,-278.889,12047.221,-2817490.410,3733958.267,-4343087.419,12237.706
7.7,-2817423.133,3733770.579,-4343007.508,192.338,-238.070,-279.652,12043.554,-2817470.590,3733939.494,-4343116.553,12237.725
7.8,-2817404.064,3733746.344,-4343035.488,191.183,-239.332,-280.434,12039.911,-2817450.770,3733920.722,-4343145.687,12237.745
7.9,-2817385.073,3733722.029,-4343063.524,190.007,-240.599,-281.235,12036.294,-2817430.950,3733901.950,-4343174.822,12237.765
8,-2817366.162,3733697.636,-4343091.616,188.813,-241.870,-282.054,12032.705,-2817411.129,3733883.177,-4343203.956,12237.785
8.1,-2817347.333,3733673.164,-4343119.766,187.599,-243.146,-282.893,12029.145,-2817391.309,3733864.405,-4343233.090,12237.805
8.2,-2817328.588,3733648.613,-4343147.978,186.367,-244.425,-283.750,12025.617,-2817371.489,3733845.633,-4343262.225,12237.826
8.3,-2817309.928,3733623.983,-4343176.251,185.117,-245.707,-284.625,12022.123,-2817351.669,3733826.861,-4343291.359,12237.847
8.4,-2817291.354,3733599.275,-4343204.589,183.849,-246.993,-285.518,12018.666,-2817331.848,3733808.088,-4343320.493,12237.868
8.5,-2817272.869,3733574.490,-4343232.993,182.563,-248.281,-286.429,12015.246,-2817312.028,3733789.316,-4343349.628,12237.889
8.6,-2817254.474,3733549.626,-4343261.465,181.260,-249.571,-287.358,12011.867,-2817292.208,3733770.544,-4343378.762,12237.911
8.7,-2817236.170,3733524.684,-4343290.006,179.940,-250.863,-288.305,12008.530,-2817272.388,3733751.772,-4343407.897,12237.933
8.8,-2817217.960,3733499.665,-4343318.619,178.603,-252.156,-289.269,12005.237,-2817252.567,3733732.999,-4343437.031,12237.955
8.9,-2817199.845,3733474.568,-4343347.305,177.249,-253.449,-290.250,12001.991,-2817232.747,3733714.227,-4343466.165,12237.977
9,-2817181.827,3733449.395,-4343376.067,175.880,-254.744,-291.248,11998.794,-2817212.927,3733695.455,-4343495.300,12238.000
9.1,-2817163.906,3733424.144,-4343404.906,174.495,-256.038,-292.263,11995.647,-2817193.106,3733676.682,-4343524.434,12238.023
9.2,-2817146.086,3733398.816,-4343433.823,173.094,-257.332,-293.294,11992.552,-2817173.286,3733657.910,-4343553.568,12238.046
9.3,-2817128.367,3733373.412,-4343462.822,171.678,-258.625,-294.342,11989.513,-2817153.466,3733639.138,-4343582.703,12238.069
9.4,-2817110.752,3733347.931,-4343491.902,170.247,-259.918,-295.406,11986.530,-2817133.646,3733620.366,-4343611.837,12238.093
9.5,-2817093.242,3733322.373,-4343521.068,168.802,-261.208,-296.486,11983.606,-2817113.825,3733601.593,-4343640.971,12238.117
